Actions,WIID,Description,Type,Status,Date
,522404,Generate Yearly Report for Vendor,WI4,Open,2017-12-30
,477334,Generate Yearly Report for Vendor,WI4,Open,2017-10-31
,900254,Generate Yearly Report for Vendor,WI4,Open,2017-08-24
,300524,Generate Yearly Report for Vendor,WI4,Open,2017-05-23
,150814,Generate Yearly Report for Vendor,WI4,Open,2017-06-27
,651214,Generate Yearly Report for Vendor,WI4,Open,2017-04-01
,434094,Generate Yearly Report for Vendor,WI4,Open,2018-11-24
,664984,Generate Yearly Report for Vendor,WI4,Open,2018-07-30
,403234,Generate Yearly Report for Vendor,WI4,Open,2017-01-02
,835144,Generate Yearly Report for Vendor,WI4,Open,2017-01-27
,177644,Generate Yearly Report for Vendor,WI4,Open,2019-02-01
,636854,Generate Yearly Report for Vendor,WI4,Open,2017-02-10
,499394,Generate Yearly Report for Vendor,WI4,Open,2017-05-17
,150644,Generate Yearly Report for Vendor,WI4,Open,2017-05-29
,258974,Generate Yearly Report for Vendor,WI4,Open,2017-10-19
,246854,Generate Yearly Report for Vendor,WI4,Open,2018-02-24
,734864,Generate Yearly Report for Vendor,WI4,Open,2017-03-08
,413724,Generate Yearly Report for Vendor,WI4,Open,2017-11-19
,733464,Generate Yearly Report for Vendor,WI4,Open,2018-08-17
